"FERIADO_DATE"
"01/01/2016"
"25/03/2016"
"27/03/2016"
"25/04/2016"
"01/05/2016"
"26/05/2016"
"10/06/2016"
"15/08/2016"
"05/10/2016"
"01/11/2016"
"01/12/2016"
"08/12/2016"
"25/12/2016"
"01/01/2017"
"14/04/2017"
"16/04/2017"
"25/04/2017"
"01/05/2017"
"10/06/2017"
"15/06/2017"
"15/08/2017"
"05/10/2017"
"01/11/2017"
"01/12/2017"
"08/12/2017"
"25/12/2017"
"01/01/2018"
"30/03/2018"
"01/04/2018"
"25/04/2018"
"01/05/2018"
"31/05/2018"
"10/06/2018"
"15/08/2018"
"05/10/2018"
"01/11/2018"
"01/12/2018"
"08/12/2018"
"25/12/2018"
